Date : 2022-05-08 23:12:16
Directory : c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations
Total : 4402 files,  1243208 codes, 566165 comments, 242171 blanks, all 2051544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      3,208 |    808,922 |    428,267 |    174,638 |  1,411,827 |
| C++              |        897 |    304,776 |    135,059 |     61,738 |    501,573 |
| JSON             |         61 |     91,729 |          0 |          2 |     91,731 |
| HTML             |        128 |     26,296 |      1,495 |      4,256 |     32,047 |
| XML              |         21 |      4,297 |         20 |         20 |      4,337 |
| C                |          8 |      2,457 |        481 |        394 |      3,332 |
| JavaScript       |          5 |      1,098 |        203 |        182 |      1,483 |
| CMake            |         12 |        863 |          0 |        219 |      1,082 |
| LaTeX            |          1 |        730 |        116 |        132 |        978 |
| Perl             |          3 |        501 |         83 |         66 |        650 |
| CSS              |          6 |        296 |         45 |         74 |        415 |
| C#               |          8 |        253 |          0 |         83 |        336 |
| Shell Script     |          7 |        211 |        268 |        129 |        608 |
| reStructuredText |          3 |        167 |          0 |         56 |        223 |
| Objective-C      |          5 |        139 |          0 |         45 |        184 |
| F#               |          8 |        126 |          0 |         32 |        158 |
| Properties       |          6 |        113 |          4 |         18 |        135 |
| PowerShell       |          1 |        104 |        105 |         33 |        242 |
| Batch            |          8 |         50 |          0 |         24 |         74 |
| Makefile         |          3 |         31 |         19 |         19 |         69 |
| Ini              |          2 |         27 |          0 |          7 |         34 |
| Markdown         |          1 |         22 |          0 |          4 |         26 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |      4,402 |  1,243,208 |    566,165 |    242,171 |  2,051,544 |
| controlib                                                                                                                                                     |          6 |        420 |         99 |        130 |        649 |
| lib                                                                                                                                                           |         44 |      7,519 |      2,533 |      2,214 |     12,266 |
| lib\sim1                                                                                                                                                      |          3 |        148 |         32 |         58 |        238 |
| lib\sim10                                                                                                                                                     |          3 |        521 |        200 |        143 |        864 |
| lib\sim11                                                                                                                                                     |          3 |        649 |        156 |        147 |        952 |
| lib\sim12                                                                                                                                                     |          3 |        808 |        214 |        169 |      1,191 |
| lib\sim2                                                                                                                                                      |          3 |        185 |        140 |         76 |        401 |
| lib\sim3                                                                                                                                                      |          3 |        238 |        124 |         87 |        449 |
| lib\sim4                                                                                                                                                      |          3 |        252 |        131 |         99 |        482 |
| lib\sim5                                                                                                                                                      |          3 |        299 |        129 |        109 |        537 |
| lib\sim6                                                                                                                                                      |          3 |        507 |        133 |        139 |        779 |
| lib\sim7                                                                                                                                                      |          3 |        311 |        171 |         98 |        580 |
| lib\sim8                                                                                                                                                      |          3 |        559 |        189 |        133 |        881 |
| lib\sim9                                                                                                                                                      |          3 |        518 |        363 |        153 |      1,034 |
| venv                                                                                                                                                          |      4,349 |  1,235,010 |    563,336 |    239,727 |  2,038,073 |
| venv\Lib                                                                                                                                                      |      3,145 |    803,526 |    423,855 |    171,508 |  1,398,889 |
| venv\Lib\asyncio                                                                                                                                              |         29 |      8,328 |      2,741 |      1,926 |     12,995 |
| venv\Lib\collections                                                                                                                                          |          2 |        969 |        126 |        188 |      1,283 |
| venv\Lib\concurrent                                                                                                                                           |          5 |        943 |        484 |        216 |      1,643 |
| venv\Lib\concurrent\futures                                                                                                                                   |          4 |        943 |        483 |        215 |      1,641 |
| venv\Lib\ctypes                                                                                                                                               |         63 |      6,322 |      1,130 |      1,639 |      9,091 |
| venv\Lib\ctypes\macholib                                                                                                                                      |          5 |        172 |         91 |         45 |        308 |
| venv\Lib\ctypes\test                                                                                                                                          |         53 |      5,151 |        678 |      1,408 |      7,237 |
| venv\Lib\curses                                                                                                                                               |          5 |        473 |         93 |         50 |        616 |
| venv\Lib\dbm                                                                                                                                                  |          4 |        281 |        166 |         68 |        515 |
| venv\Lib\distutils                                                                                                                                            |         96 |     14,918 |      5,492 |      3,572 |     23,982 |
| venv\Lib\distutils\command                                                                                                                                    |         23 |      4,276 |      1,217 |        915 |      6,408 |
| venv\Lib\distutils\tests                                                                                                                                      |         45 |      4,896 |      1,014 |      1,259 |      7,169 |
| venv\Lib\email                                                                                                                                                |         30 |      5,936 |      3,106 |      1,214 |     10,256 |
| venv\Lib\email\mime                                                                                                                                           |          9 |        111 |        156 |         76 |        343 |
| venv\Lib\encodings                                                                                                                                            |        123 |     29,745 |      1,113 |      1,909 |     32,767 |
| venv\Lib\ensurepip                                                                                                                                            |          3 |        169 |         43 |         44 |        256 |
| venv\Lib\html                                                                                                                                                 |          3 |      2,903 |        140 |         71 |      3,114 |
| venv\Lib\http                                                                                                                                                 |          5 |      3,252 |      1,774 |        637 |      5,663 |
| venv\Lib\idlelib                                                                                                                                              |        124 |     23,230 |      5,517 |      4,596 |     33,343 |
| venv\Lib\idlelib\idle_test                                                                                                                                    |         62 |      8,761 |      1,521 |      2,201 |     12,483 |
| venv\Lib\importlib                                                                                                                                            |          8 |      2,507 |      1,413 |        609 |      4,529 |
| venv\Lib\json                                                                                                                                                 |          5 |        722 |        491 |         91 |      1,304 |
| venv\Lib\lib2to3                                                                                                                                              |         73 |      4,987 |      2,365 |      1,095 |      8,447 |
| venv\Lib\lib2to3\fixes                                                                                                                                        |         53 |      1,782 |      1,017 |        519 |      3,318 |
| venv\Lib\lib2to3\pgen2                                                                                                                                        |          9 |      1,250 |        494 |        190 |      1,934 |
| venv\Lib\logging                                                                                                                                              |          3 |      2,433 |      1,807 |        406 |      4,646 |
| venv\Lib\msilib                                                                                                                                               |          4 |      1,561 |         44 |        142 |      1,747 |
| venv\Lib\multiprocessing                                                                                                                                      |         23 |      6,112 |        958 |      1,339 |      8,409 |
| venv\Lib\multiprocessing\dummy                                                                                                                                |          2 |        125 |         28 |         50 |        203 |
| venv\Lib\pydoc_data                                                                                                                                           |          3 |      9,236 |      4,527 |          3 |     13,766 |
| venv\Lib\site-packages                                                                                                                                        |      2,207 |    562,162 |    339,211 |    125,973 |  1,027,346 |
| venv\Lib\site-packages\PIL                                                                                                                                    |         92 |     16,165 |      7,822 |      4,643 |     28,630 |
| venv\Lib\site-packages\Pillow-8.0.1.dist-info                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\_distutils_hack                                                                                                                        |          2 |         76 |         19 |         31 |        126 |
| venv\Lib\site-packages\certifi                                                                                                                                |          3 |         32 |         28 |         18 |         78 |
| venv\Lib\site-packages\control                                                                                                                                |         73 |     13,385 |      8,953 |      3,335 |     25,673 |
| venv\Lib\site-packages\control-0.8.3.dist-info                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\control\flatsys                                                                                                                        |          6 |        146 |        596 |         56 |        798 |
| venv\Lib\site-packages\control\matlab                                                                                                                         |          3 |        308 |        411 |        103 |        822 |
| venv\Lib\site-packages\control\tests                                                                                                                          |         36 |      7,397 |      1,734 |      1,647 |     10,778 |
| venv\Lib\site-packages\cycler-0.10.0.dist-info                                                                                                                |          2 |          2 |          0 |          3 |          5 |
| venv\Lib\site-packages\dateutil                                                                                                                               |         18 |      4,321 |      2,221 |      1,058 |      7,600 |
| venv\Lib\site-packages\dateutil\parser                                                                                                                        |          3 |      1,172 |        592 |        320 |      2,084 |
| venv\Lib\site-packages\dateutil\tz                                                                                                                            |          5 |      1,329 |        964 |        442 |      2,735 |
| venv\Lib\site-packages\dateutil\zoneinfo                                                                                                                      |          2 |        105 |         86 |         31 |        222 |
| venv\Lib\site-packages\kiwisolver-1.3.1.dist-info                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\matplotlib                                                                                                                             |        255 |     91,979 |     45,961 |     19,520 |    157,460 |
| venv\Lib\site-packages\matplotlib-3.3.3.dist-info                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\matplotlib\axes                                                                                                                        |          5 |      5,200 |      6,847 |        944 |     12,991 |
| venv\Lib\site-packages\matplotlib\backends                                                                                                                    |         48 |     12,335 |      2,962 |      2,545 |     17,842 |
| venv\Lib\site-packages\matplotlib\backends\qt_editor                                                                                                          |          5 |        608 |        152 |        122 |        882 |
| venv\Lib\site-packages\matplotlib\backends\web_backend                                                                                                        |         13 |      1,756 |        135 |        226 |      2,117 |
| venv\Lib\site-packages\matplotlib\backends\web_backend\css                                                                                                    |          4 |        240 |         38 |         67 |        345 |
| venv\Lib\site-packages\matplotlib\backends\web_backend\js                                                                                                     |          3 |        728 |         94 |        135 |        957 |
| venv\Lib\site-packages\matplotlib\cbook                                                                                                                       |          2 |      1,283 |      1,263 |        315 |      2,861 |
| venv\Lib\site-packages\matplotlib\compat                                                                                                                      |          1 |          2 |          0 |          3 |          5 |
| venv\Lib\site-packages\matplotlib\mpl-data                                                                                                                    |         19 |      4,260 |         19 |         18 |      4,297 |
| venv\Lib\site-packages\matplotlib\mpl-data\images                                                                                                             |         19 |      4,260 |         19 |         18 |      4,297 |
| venv\Lib\site-packages\matplotlib\projections                                                                                                                 |          3 |      1,250 |        523 |        307 |      2,080 |
| venv\Lib\site-packages\matplotlib\sphinxext                                                                                                                   |          3 |        521 |        262 |        140 |        923 |
| venv\Lib\site-packages\matplotlib\style                                                                                                                       |          2 |        112 |         88 |         41 |        241 |
| venv\Lib\site-packages\matplotlib\testing                                                                                                                     |         15 |      1,237 |        806 |        393 |      2,436 |
| venv\Lib\site-packages\matplotlib\testing\jpl_units                                                                                                           |          8 |        448 |        434 |        179 |      1,061 |
| venv\Lib\site-packages\matplotlib\tests                                                                                                                       |         80 |     22,112 |      2,865 |      5,771 |     30,748 |
| venv\Lib\site-packages\matplotlib\tri                                                                                                                         |          9 |      1,219 |      1,569 |        261 |      3,049 |
| venv\Lib\site-packages\mpl_toolkits                                                                                                                           |         57 |      8,613 |      4,016 |      2,417 |     15,046 |
| venv\Lib\site-packages\mpl_toolkits\axes_grid                                                                                                                 |         17 |         47 |          1 |         20 |         68 |
| venv\Lib\site-packages\mpl_toolkits\axes_grid1                                                                                                                |         10 |      2,283 |      1,532 |        612 |      4,427 |
| venv\Lib\site-packages\mpl_toolkits\axisartist                                                                                                                |         13 |      2,212 |        726 |        713 |      3,651 |
| venv\Lib\site-packages\mpl_toolkits\mplot3d                                                                                                                   |          5 |      2,321 |      1,611 |        578 |      4,510 |
| venv\Lib\site-packages\mpl_toolkits\tests                                                                                                                     |         12 |      1,750 |        146 |        494 |      2,390 |
| venv\Lib\site-packages\numpy                                                                                                                                  |        407 |    117,599 |     78,673 |     24,419 |    220,691 |
| venv\Lib\site-packages\numpy-1.19.4.dist-info                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\numpy\compat                                                                                                                           |          6 |        206 |        163 |         61 |        430 |
| venv\Lib\site-packages\numpy\compat\tests                                                                                                                     |          2 |         13 |          0 |          8 |         21 |
| venv\Lib\site-packages\numpy\core                                                                                                                             |        105 |     42,687 |     25,514 |      9,337 |     77,538 |
| venv\Lib\site-packages\numpy\core\include                                                                                                                     |         26 |      5,966 |      1,238 |        915 |      8,119 |
| venv\Lib\site-packages\numpy\core\include\numpy                                                                                                               |         26 |      5,966 |      1,238 |        915 |      8,119 |
| venv\Lib\site-packages\numpy\core\include\numpy\random                                                                                                        |          2 |        177 |         12 |         33 |        222 |
| venv\Lib\site-packages\numpy\core\lib                                                                                                                         |          2 |         27 |          0 |          7 |         34 |
| venv\Lib\site-packages\numpy\core\lib\npy-pkg-config                                                                                                          |          2 |         27 |          0 |          7 |         34 |
| venv\Lib\site-packages\numpy\core\tests                                                                                                                       |         46 |     29,039 |      4,502 |      6,042 |     39,583 |
| venv\Lib\site-packages\numpy\distutils                                                                                                                        |         74 |     11,297 |      3,495 |      2,183 |     16,975 |
